2,2,10
3,2,3
4,2,6
5,3,10
6,3,3
7,3,5
8,3,6
9,4,8
10,4,2
11,4,12
12,5,8
13,5,2
14,5,4
15,5,12
16,6,8
17,6,2
18,6,12
19,6,5
20,7,2
21,7,10
22,7,12
23,7,13
24,8,10
25,8,3
26,8,13
27,9,3
28,9,5
29,9,8
30,9,12
31,9,13
32,10,3
33,10,6
34,10,10
35,10,12
36,10,13
37,11,3
38,11,5
39,11,10
40,11,12
41,11,13
42,23,10
43,23,3
44,23,4
45,22,10
46,22,3
47,22,4
48,21,10
49,21,3
50,21,4
51,20,10
52,20,3
53,20,4
54,19,10
55,19,3
56,19,7
57,18,8
58,18,3
59,18,7
60,12,8
61,12,3
62,12,4
63,14,2
64,14,12
65,14,13
66,13,8
67,13,2
68,13,12
69,13,13
